Trial,Clockwise,InputSpeed(deg/s),Inputtheta(deg),x0,y0,theta0,x1,y1,theta1,x*,y*,r*,delta_theta,omega_hat,v_hat,gamma
1,True,30,90,8.916070593136916e-06,5.421288022611623e-06,0.00033293756031721304,0.005847923191442042,0.005002719838699396,-1.5736481781579832,6.947679512108243e-06,0.00591761397190733,0.005912193011560384,1.4150920255790906,0.35377300639477266,0.002091574296085882,-0.7472682853243477
2,True,30,90,8.908490698928585e-06,5.428895388500994e-06,0.00033292594174994005,0.005822300505116334,0.0049994141486697395,-1.5733708591030666,6.949922084333385e-06,0.005888324448490478,0.00588289587913113,1.4187816323157287,0.3546954080789322,0.0020866361545342845,-0.7481213543401364
3,True,30,90,8.920382348724068e-06,5.407121168281679e-06,0.0003327625763083035,0.00585357037682531,0.005005777531463959,-1.5737124108997913,6.951017680969368e-06,0.005923634515944919,0.005918227722442071,1.4147451722181903,0.3536862930545476,0.002093196024603194,-0.7471975864235725
4,True,30,90,8.84267845039817e-06,5.394192828247485e-06,0.00033339687001609906,0.0058534704985300015,0.005005819767053856,-1.5737118475249676,6.869570448791128e-06,0.005923589910761756,0.005918196046847527,1.414758550904216,0.353689637726054,0.0020932046158012667,-0.7472009488247999
5,True,30,90,8.917694339260696e-06,5.410636699882734e-06,0.0003319767758588053,0.00585349721375187,0.005005888691005431,-1.5737133808293895,6.953015949908142e-06,0.0059235303970216506,0.0059181200864355694,1.414779924364654,0.3536949810911635,0.0020932093720670637,-0.7472063204924755
6,True,30,90,8.899834491351494e-06,5.494639826768931e-06,0.00033377179088050053,0.0058356450621864404,0.005003543629646422,-1.573585494948643,6.931334954419187e-06,0.005903235304609358,0.0058977409932974,1.4173160886225027,0.3543290221556257,0.0020897407990822163,-0.7478088388405065
7,True,30,90,8.957776805840937e-06,5.507626166435066e-06,0.0003309054982013769,0.005821098256795593,0.005000038500391685,-1.573423599102561,7.011613300469347e-06,0.005886834605971957,0.005881327301803628,1.4191065284430842,0.35477663211077104,0.0020865574924750193,-0.7482152582609616
8,True,30,90,8.936351636340841e-06,5.532528638999589e-06,0.0003322535820174355,0.005847794991903238,0.0050028726251141785,-1.5736501619768044,6.9720661488954436e-06,0.005917539265294378,0.0059120070629758254,1.4151267319158867,0.35378168297897167,0.002091559808523155,-0.7472772868686771
9,True,30,90,8.961189759919996e-06,5.4632897993556215e-06,0.0003316704840924117,0.005821015383481451,0.005000073623735672,-1.5734221912409,7.010563392352304e-06,0.0058866809127003615,0.0058812179463836045,1.4191354036487882,0.35478385091219705,0.0020865611510718983,-0.7482223163434452
10,True,30,90,8.88636330758005e-06,5.509991184157038e-06,0.0003318024385776053,0.005864878789292382,0.005013896236954345,-1.5735038134417663,6.918769354226015e-06,0.005935526327359665,0.0059300166626017475,1.4144141549548346,0.35360353873870864,0.0020968748766754847,-0.7470624427087946
11,True,30,90,8.993347165419698e-06,5.488407419662926e-06,0.0003322719228237076,0.005835671642571981,0.005003712377226337,-1.5735894170158542,7.0337333034679005e-06,0.005903109166889735,0.005897621085032408,1.4173650428852165,0.3543412607213041,0.002089770490526929,-0.7478216829559736
